ID,url,role,title,sap_module,description,lastUpdated,sapHelpLink
a1111111-1111-1111-1111-111111111111,https://learning.sap.com/s4hana-migration,Admin,S/4HANA System Migration,BASIS,Complete guide to migrating from ECC to S/4HANA including system preparation and conversion,2026-02-10T10:00:00Z,https://help.sap.com/docs/s4hana-migration
a2222222-2222-2222-2222-222222222222,https://learning.sap.com/fiori-elements-v4,Developer,Fiori Elements V4 Development,UI_UX,Build Fiori applications using latest V4 templates and OData V4 services,2026-02-10T11:00:00Z,https://help.sap.com/docs/fiori-elements
a3333333-3333-3333-3333-333333333333,https://learning.sap.com/cap-nodejs,Developer,SAP Cloud Application Programming,CAP,Develop cloud-native applications using CAP with Node.js and HANA,2026-02-10T12:00:00Z,https://help.sap.com/docs/cap
a4444444-4444-4444-4444-444444444444,https://learning.sap.com/btp-integration,Developer,BTP Integration Suite,BTP,Master SAP Business Technology Platform integration capabilities and services,2026-02-10T13:00:00Z,https://help.sap.com/docs/btp
a5555555-5555-5555-5555-555555555555,https://learning.sap.com/authorization-security,Admin,Authorization and Security Concepts,SECURITY,Configure PFCG roles and implement security best practices in S/4HANA,2026-02-10T14:00:00Z,https://help.sap.com/docs/security
a6666666-6666-6666-6666-666666666666,https://learning.sap.com/workflow-management,Consultant,SAP Workflow and Business Process,WORKFLOW,Design and implement automated workflows and approval processes,2026-02-10T15:00:00Z,https://help.sap.com/docs/workflow
a7777777-7777-7777-7777-777777777777,https://learning.sap.com/pp-production,Consultant,SAP PP Production Planning,PP,Plan and control manufacturing operations and production orders,2026-02-10T16:00:00Z,https://help.sap.com/docs/pp
a8888888-8888-8888-8888-888888888888,https://learning.sap.com/wm-warehouse,Consultant,SAP WM Warehouse Management,WM,Manage warehouse operations including inventory and picking processes,2026-02-10T17:00:00Z,https://help.sap.com/docs/wm
a9999999-9999-9999-9999-999999999999,https://learning.sap.com/hr-payroll,Consultant,SAP HCM Payroll Processing,HR,Configure and execute payroll runs with all compliance requirements,2026-02-10T18:00:00Z,https://help.sap.com/docs/hcm
b1111111-1111-1111-1111-111111111111,https://learning.sap.com/bw4hana-modeling,Admin,BW/4HANA Data Modeling,BW,Design data models and create analytical queries in BW/4HANA,2026-02-10T19:00:00Z,https://help.sap.com/docs/bw4hana
b2222222-2222-2222-2222-222222222222,https://learning.sap.com/gateway-odata,Developer,SAP Gateway and OData Services,GATEWAY,Build and expose OData services using SAP Gateway framework,2026-02-11T08:00:00Z,https://help.sap.com/docs/gateway
b3333333-3333-3333-3333-333333333333,https://learning.sap.com/cds-views,Developer,Core Data Services (CDS),ABAP,Create CDS views for data modeling and analytics in S/4HANA,2026-02-11T09:00:00Z,https://help.sap.com/docs/cds
b4444444-4444-4444-4444-444444444444,https://learning.sap.com/transport-management,Admin,Transport Management System,BASIS,Manage system landscape and transport requests across environments,2026-02-11T10:00:00Z,https://help.sap.com/docs/transport
b5555555-5555-5555-5555-555555555555,https://learning.sap.com/solution-manager,Admin,Solution Manager Administration,SOLMAN,Monitor systems and manage incidents using Solution Manager,2026-02-11T11:00:00Z,https://help.sap.com/docs/solution-manager
b6666666-6666-6666-6666-666666666666,https://learning.sap.com/ariba-procurement,Consultant,SAP Ariba Procurement,ARIBA,Implement cloud-based procurement processes with Ariba,2026-02-11T12:00:00Z,https://help.sap.com/docs/ariba
b7777777-7777-7777-7777-777777777777,https://learning.sap.com/successfactors-core,Consultant,SuccessFactors Core HR,SUCCESSFACTORS,Configure employee central and core HR processes in SuccessFactors,2026-02-11T13:00:00Z,https://help.sap.com/docs/successfactors
b8888888-8888-8888-8888-888888888888,https://learning.sap.com/analytics-cloud,Consultant,SAP Analytics Cloud,SAC,Build dashboards and perform planning in SAP Analytics Cloud,2026-02-11T14:00:00Z,https://help.sap.com/docs/sac
b9999999-9999-9999-9999-999999999999,https://learning.sap.com/clean-core,Developer,Clean Core Development Principles,CLEAN_CORE,Develop cloud-ready applications following clean core guidelines,2026-02-11T15:00:00Z,https://help.sap.com/docs/clean-core
c1111111-1111-1111-1111-111111111111,https://learning.sap.com/performance-tuning,Admin,SAP Performance Optimization,PERFORMANCE,Identify bottlenecks and optimize system performance and queries,2026-02-11T16:00:00Z,https://help.sap.com/docs/performance
c2222222-2222-2222-2222-222222222222,https://learning.sap.com/integration-suite,Developer,Integration Suite and API Management,INTEGRATION,Design integration flows and manage APIs in Integration Suite,2026-02-11T17:00:00Z,https://help.sap.com/docs/integration-suite
