id,url,role,Topic,title,module,description,lastUpdated,sapHelpLink
1,https://education.hana.ondemand.com/education/pub/s4/index.html?show=slide!SL_627E9B014F352EBE,,Accelerated Customer Returns,Accelerated Customer Returns,Cross-Functional,"Complete the end-to-end returns and refunding process, with automated creation of all follow-up documents.",2026-02-27,https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE?version=2022
2,https://education.hana.ondemand.com/education/pub/s4/index.html?show=slide!SL_9C0072A281E0778A,Returns and Refund Clerk,Accelerated Customer Returns,Accelerated Customer Returns - Goods are Inspected at Customer Site,Sales - Returns (SD-RET),"Complete the end-to-end returns and refunding process, with automated creation of all follow-up documents.",2026-02-27,https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE?version=2022
3,https://education.hana.ondemand.com/education/pub/s4/index.html?show=slide!SL_DF090F9D39A272B6,"Returns and Refund Clerk,Shipping Specialist,Receiving Specialist,Billing Clerk",Accelerated Customer Returns,Accelerated Customer Returns - Goods are Returned to Seller,Sales - Billing (SD-BIL),"Complete the end-to-end returns and refunding process, with automated creation of all follow-up documents.",2026-02-27,https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE?version=2022
4,https://education.hana.ondemand.com/education/pub/s4/index.html?show=slide!SL_AFF43D96455A3CBE,Returns and Refund Clerk,Accelerated Customer Returns,Accelerated Customer Returns - Goods are Returned to Supplier via Seller,Sales - Returns (SD-RET),"Complete the end-to-end returns and refunding process, with automated creation of all follow-up documents.",2026-02-27,https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE?version=2022
5,https://education.hana.ondemand.com/education/pub/s4/index.html?show=project!PR_18D5815710C0D5A6,Shipping Specialist,Accepting Material,Accepting Material,Logistics - Shipping (LE-SHP),Quality engineer makes a usage decision: accepting the material.,2026-02-27,https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE?version=2022
6,https://education.hana.ondemand.com/education/pub/s4/index.html?show=slide!SL_19E2B40E87AAAFA0,,Accounting and Financial Close,Accounting and Financial Close,Cross-Functional,The central task of general ledger accounting is to provide a comprehensive overview of external accounting and accounts. This process covers all the required steps relating to local period-end closing.,2026-02-27,https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE?version=2022
7,https://education.hana.ondemand.com/education/pub/s4/index.html?show=slide!SL_44468728EB51AB92,General Ledger Accountant,Accounting and Financial Close,Accounting and Financial Close - Advanced Valuations,Finance - General Ledger (FI-GL),"Learn how to perform advanced valuations like posting discount of long-term assets and liabilities, performing advanced foreign currency valuations, posting credit-risk-based impairments, and posting balance sheet reclassifications.",2026-02-27,https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE?version=2022
8,https://education.hana.ondemand.com/education/pub/s4/index.html?show=slide!SL_447F923C941A0F90,"General Ledger Accountant ,General Ledger Accountant, Business Process Specialist,Administrator",Accounting and Financial Close,Accounting and Financial Close - Daily Operations - Part 1,Finance - General Ledger (FI-GL),"Learn how to perform daily operations like posting, uploading, verifying, editing, and approving journal entries; as well as how to reverse journal entries and display line item entries.",2026-02-27,https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE?version=2022
9,https://education.hana.ondemand.com/education/pub/s4/index.html?show=slide!SL_EF0476F41B06ABAB,"General Ledger Accountant,General Ledger Accountant",Accounting and Financial Close,Accounting and Financial Close - Daily Operations - Part 2,Finance - General Ledger (FI-GL),"Learn how to perform daily operations like creating, displaying, copying, and editing recurring journal entries; as well as how to view audit journals and clear general ledger accounts.",2026-02-27,https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE?version=2022
10,https://education.hana.ondemand.com/education/pub/s4/index.html?show=slide!SL_7365EDC3A488A6A2,"General Ledger Accountant ,General Ledger Accountant",Accounting and Financial Close,Accounting and Financial Close - Group Ledger IFRS,Finance - General Ledger (FI-GL),"General Ledger Accounting provides a comprehensive overview of external accounting and accounts, and it supports parallel accounting. General Ledger Accounting serves as a complete record of all business transactions, providing a centralized, up-to-date reference for the rendering of accounts. Actual individual transactions can be checked at any time in real-time processing by displaying the original documents, line items, and transaction figures at various levels to support parallel accounting.",2026-02-27,https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE?version=2022
11,https://education.hana.ondemand.com/education/pub/s4/index.html?show=slide!SL_B4F8F233811A518E,"Configuration Expert - Business Process Configuration, General Ledger Accountant,Configuration Expert -  Business Process Configuration,General Ledger Accountant,Divisional Accountant",Accounting and Financial Close,Accounting and Financial Close - Master Data,Finance - General Ledger (FI-GL),"Learn how to manage all your master data including financial statement versions, your chart of accounts, profit centers, and your journal entry template.",2026-02-27,https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE?version=2022
12,https://education.hana.ondemand.com/education/pub/s4/index.html?show=slide!SL_42E076F6C29B4A82,"General Ledger Accountant,General Ledger Accountant for USA",Accounting and Financial Close,Accounting and Financial Close - Period End Operations - Part 1,Finance - General Ledger (FI-GL),"Learn how to perform period end operations like working with foreign currency and exchange rates, managing posting periods, tax tables, batch input plans, and displaying financial statements.",2026-02-27,https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE?version=2022
13,https://education.hana.ondemand.com/education/pub/s4/index.html?show=slide!SL_11E0E88157FF33BF,"General Ledger Accountant ,General Ledger Accountant,Configuration Expert - Business Process Configuration, General Ledger Accountant",Accounting and Financial Close,Accounting and Financial Close - Period End Operations - Part 2,Finance - General Ledger (FI-GL),"Learn how to perform period end operations like printing financial statements, performing a trial balance, displaying a statement of general ledger changes, viewing the balance status; and analyzing or calculating credit loss and risk.",2026-02-27,https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE?version=2022
14,https://education.hana.ondemand.com/education/pub/s4/index.html?show=slide!SL_7E994118155796A5,"Accounts Payable Accountant ,Cash Management Specialist ,Accounts Payable Manager",Accounts Payable,Accounts Payable,Finance - Accounts Payable (FI-AP),Manage your open payable invoices that are automatically created from purchasing processes.,2026-02-27,https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE?version=2022
